52,-30,79,0,0,0,27,79,52,0
90,-40,107,0,64,-28,17,42,26,0
70,-30,107,0,60,-13,37,47,10,0
71,-33,107,0,60,-21,36,47,12,0
37,-85,77,0,20,0,40,57,16,0
46,-49,77,0,-2,0,31,79,48,0
81,-5,84,0,-22,-6,4,108,104,1
103,-1,104,-4,72,10,1,31,30,1
86,5,89,0,2,-5,3,86,84,1
106,0,108,-3,70,-4,1,38,36,1
79,0,83,0,-46,-29,4,130,126,1
83,0,87,0,-40,0,4,128,124,1
84,-3,88,0,6,0,5,83,78,1
101,5,102,0,72,14,1,29,28,1
79,-1,83,-10,436,6339,4,-353,-356,1
105,1,106,0,70,-3,1,36,34,1
108,0,108,-6,72,7,1,36,36,1
102,-4,104,0,70,0,1,34,32,1
82,-1,86,0,-12,0,4,99,94,1
103,2,105,9,70,0,2,35,34,1
105,-5,106,-7,70,0,1,36,34,1
102,0,103,0,70,-25,1,33,32,1
81,0,84,0,-20,24,4,105,102,1
80,1,84,0,-36,0,4,121,116,1
82,0,86,0,-12,-9,3,99,96,1
101,0,102,0,72,38,1,30,28,1
85,1,88,0,0,-1,3,88,86,1
80,1,84,3,-42,-26,5,128,124,1
85,0,88,0,0,-9,3,88,86,1
76,-5,80,0,-40,0,4,121,116,1
82,-1,86,0,-2,25,3,88,84,1
106,2,108,8,70,-30,2,38,36,1
106,-2,108,0,70,0,1,38,36,1
81,-5,86,0,-22,0,4,109,104,1
76,3,80,0,-40,0,4,121,118,1
84,0,88,0,-2,-19,3,90,88,1
82,0,87,1,-40,4,5,128,124,1
101,0,102,0,72,15,1,29,28,1
85,0,88,4,6,0,3,83,80,1
78,1,82,4,-42,0,4,126,122,1
78,5,81,0,-42,0,4,125,122,1
83,0,86,0,-4,19,3,92,88,1
102,0,103,3,72,25,1,31,30,1
106,4,108,2,70,0,1,38,36,1
83,0,86,0,-4,-12,3,92,88,1
81,0,86,6,-40,6,5,127,122,1
84,0,87,-6,0,2,3,87,84,1
84,0,88,1,0,0,3,88,84,1
82,2,86,0,-22,10,4,109,106,1
102,5,104,4,70,-2,1,34,32,1
80,-5,84,-6,-40,1,4,126,122,1
107,0,108,1,72,8,1,36,34,1
77,2,81,0,-42,0,4,125,122,1
76,-3,81,0,-40,18,5,122,116,1
107,4,108,-1,70,-1,1,38,36,1
82,0,86,0,-10,0,4,96,92,1
102,2,102,0,70,-5,1,33,32,1
102,0,103,2,70,-6,1,33,32,1
84,1,87,0,-2,0,3,90,86,1
105,0,106,8,70,0,2,36,34,1
82,3,86,5,-40,0,5,128,124,1
79,-1,83,0,-40,0,4,125,120,1
84,0,88,0,2,0,3,85,82,1
81,1,86,0,-40,2,4,127,122,1
102,0,103,0,72,13,1,31,30,1
79,0,83,0,-40,0,4,124,120,1
85,-4,88,0,2,2,3,86,82,1
82,1,86,3,-40,5,5,128,124,1
85,-1,88,0,2,-8,3,86,82,1
102,0,103,3,70,-1,1,33,32,1
85,0,88,0,2,17,3,86,82,1
102,0,103,0,70,-10,1,33,32,1
76,2,81,0,-40,0,4,122,118,1
76,0,80,-5,-40,0,4,121,118,1
85,0,88,-587,0,0,3,88,84,1
85,0,88,0,6,-1,3,83,80,1
106,0,107,-1,72,3,1,35,34,1
76,0,80,-7,-42,-11,4,124,120,1
123,1409,105,1,36,-5,-18,69,86,1
82,0,85,0,-6,17,3,93,90,1
80,4,84,0,-28,0,4,112,108,1
84,-2,88,0,6,0,4,83,78,1
80,1,84,0,-28,-6,4,112,108,1
85,0,88,0,2,21,3,86,82,1
82,0,85,0,-10,-17,3,95,92,1
84,-1,88,-3,-2,-13,3,90,88,1
85,0,88,0,2,-26,3,86,82,1
85,0,88,0,0,-17,3,88,86,1
76,2,81,-4,-42,-1,5,125,120,1
82,0,87,2,-40,7,5,128,124,1
80,0,85,5,-40,8,5,126,122,1
106,4,107,2,70,0,1,37,36,1
107,-1,108,-1,72,16,1,36,34,1
84,0,88,-2,6,-6,5,83,78,1
104,0,105,0,72,11,1,33,32,1
81,0,84,2,-14,0,4,100,96,1
123,275,105,0,36,-2,-18,69,86,1
81,5,84,0,-20,0,4,105,102,1
84,9,89,0,6,-9,5,84,78,1
80,0,84,1,-28,0,4,112,108,1
107,0,108,7,70,0,1,38,36,1
81,1,86,0,-40,5,4,127,122,1
80,3,84,0,-42,0,4,128,124,1
85,0,88,-7,0,0,3,88,84,1
84,0,88,0,0,18,3,88,84,1
102,-1,104,0,72,12,1,31,30,1
79,0,83,0,-28,21,4,112,108,1
102,-1,104,0,70,0,1,34,32,1
80,-1,84,-6,-36,0,4,120,116,1
79,0,83,0,-30,-8,4,114,110,1
103,4,104,8,70,0,1,35,34,1
82,-5,87,0,-40,0,5,128,124,1
79,-1,83,-2,-40,3,4,124,120,1
101,0,102,0,72,4,1,29,28,1
74,3,79,7,-42,0,4,123,118,1
79,0,83,0,-28,27,4,112,108,1
106,-3,107,-5,72,0,1,35,34,1
78,1,82,1,-40,7,4,123,120,1
103,5,104,-1,70,-2,1,35,34,1
74,8,78,10,-42,-2,4,122,118,1
82,-2,86,0,-10,1,4,96,92,1
104,5,105,5,70,0,1,35,34,1
81,-1,85,-2,-40,0,4,126,122,1
83,2,86,0,-2,0,3,88,86,1
75,0,80,4,-42,0,5,124,120,1
85,0,88,0,2,-17,3,86,82,1
81,0,86,0,-40,2,4,127,122,1
84,0,88,0,-2,-12,3,90,88,1
104,0,105,0,70,0,1,35,34,1
